schedule,seed,block,temperature,eave,final_energy,escaped
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,19,15.0094635297,36.7323020594,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,20,13.5085171767,40.8617513275,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,21,12.1576654591,42.4718440149,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,22,10.9418989132,40.0112805789,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,23,9.84770902184,34.7042974247,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,24,8.86293811965,32.2112496859,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,25,7.97664430769,32.0328699675,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,26,7.17897987692,28.3948786236,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,27,6.46108188923,33.7499863425,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,28,5.8149737003,31.5425292149,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,29,5.23347633027,35.8398531219,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,30,4.71012869725,29.1496650221,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,31,4.23911582752,32.7367369436,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,32,3.81520424477,26.2075245097,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,33,3.43368382029,28.2971833717,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,34,3.09031543826,25.6722174798,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1963,35,2.78128389444,20.3708374676,42.1094107033,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,1,100,44.7220308278,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,2,90,47.2668405052,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,3,81,43.5981288549,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,4,72.9,44.6163589094,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,5,65.61,45.3229079193,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,6,59.049,51.3420535622,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,7,53.1441,42.1664177449,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,8,47.82969,42.6679678982,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,9,43.046721,44.9654441857,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,10,38.7420489,44.0689757016,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,11,34.86784401,42.8645028033,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,12,31.381059609,39.0067675016,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,13,28.2429536481,46.8788116136,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,14,25.4186582833,41.2944105399,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,15,22.876792455,39.9520322891,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,16,20.5891132095,34.0739159191,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,17,18.5302018885,36.4587842789,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,18,16.6771816997,36.8068607393,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,19,15.0094635297,40.2414722877,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,20,13.5085171767,40.2296835971,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,21,12.1576654591,39.7545564605,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,22,10.9418989132,38.9249292837,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,23,9.84770902184,39.5184697217,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,24,8.86293811965,38.9716045921,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,25,7.97664430769,35.1159627726,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,26,7.17897987692,34.5251922617,23.1203725798,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1964,27,6.46108188923,35.7736618707,23.1203725798,0
